;titular;descripcion;fecha;hora
0;Retenciones de hasta 11 kilómetros en la N-1, a la altura de Villabona;Una persona ha resultado herida y ha sido trasladada al Hospital Donostia. ;11/04/2019;08:48
1;Los vecinos de Barakaldo reciben a la Korrika emocionados;La carrera a favor del euskera a llegado a medianoche a Barakaldo. Cientos de personas han salido a la calle para apoyar a la Korrika.;11/04/2019;08:46
2;Un juzgado de violencia machista investigará al hombre que ayudó a morir a su esposa;"Supone un nuevo giro en el caso del suicidio asistido de María José Carrasco, enferma de esclerosis múltiple que murió la pasada semana con auxilio de su marido Ángel Hernández.
";11/04/2019;08:46
3;La Unión Europea pospone el 'brexit' hasta el 31 de octubre;A cambio el Reino Unido deberá participar en las elecciones europeas de mayo y mientras siga siendo estado miembro deberá mantener una cooperación leal.;11/04/2019;08:25
4;Retrasos en los trenes de Cercanías San Sebastián de Renfe, tras una incidencia;El servicio ha estado interrumpido entre San Sebastián e Irun debido a una incidencia en la explotación ferroviaria. ;11/04/2019;08:13
5;Korrika provocará hoy cortes de tráfico en todo Bilbao;Las afecciones más importantes tendrán lugar entre las 11:45 y las 16:20 horas. La carrera entrará en Bilbao por la carretera Zorroza-Kastrexana y saldrá por la Ribera de Elorrieta.;11/04/2019;08:00
6;La UE pospone el 'brexit' 6 meses, hasta el 31 de octubre ;A cambio el Reino Unido deberá participar en las elecciones europeas de mayo y mientras siga siendo estado miembro deberá mantener una cooperación leal, sin alterar el funcionamiento de la UE. ;11/04/2019;06:31
7;La Korrika recorrerá Bizkaia y llegará hoy a Bilbao;La vigesimoprimera edición de la carrera por el euskera llegará a la capital vizcaína en torno al mediodía.;11/04/2019;06:24
8;Un año de prisión por grabar con cámara oculta en el Monumento a los Caídos;La juez considera que el acusado, el fotógrafo Clemente Bernad, cometió un delito de revelación de secretos por instalar sin autorización una microcámara y micrófonos escondidos en una rejilla.;10/04/2019;22:20
9;Hallan una nueva especie de homínido en Filipinas de finales del Pleistoceno;Un grupo de expertos del Museo de Historia Natural de París ha encontrado varios huesos de pie y de manos, un trozo de fémur y dientes pertenecientes a antiguos homínidos en la cueva de Callao.;10/04/2019;20:50
10;Osakidetza detecta un nuevo caso de sarampión en Gipuzkoa;El afectado es un varón de 41 años que viajó a Gipuzkoa el 5 de abril y, tras sentirse indispuesto, acudió a un centro de salud de este territorio, donde el laboratorio confirmó el diagnóstico.;10/04/2019;20:18
11;Programa de las Fiestas de San Jorge 2019 en Santurtzi;Consulta aquí día a día y hora a hora todos los actos y conciertos de las Fiestas de San Jorge.;10/04/2019;19:26
12;¿Qué es un agujero negro?;Es un lugar del espacio de donde nada puede escapar, ni siquiera la luz. Tan solo forman agujeros negros las estrellas muy masivas. Los agujeros negros se distinguen por su tamaño.;10/04/2019;18:29
13;Testigos afirman que el exalcalde de Getaria actuó en beneficio de Julián Argilagos;El exalcalde del PNV está siendo juzgado por las irregularidades detectadas en la construcción del Museo Balenciaga, que fue proyectada en 4,8 millones de euros y acabó costando 30 millones.;10/04/2019;18:23
14;Urkullu y Erkoreka intervienen en la negociación de las transferencias;Las delegaciones de ambos gobiernos han terminado la reunión de este miércoles sin cerrar un acuerdo sobre las cuatro nuevas transferencias. La Comisión Bilateral volverá a reunirse este jueves.;10/04/2019;17:44
15;Urkullu: 'Chillida Leku es un espacio único creado por un artista excepcional';La familia Chillida ha vivido con emoción el acto inaugural, que ha contado con la presencia de una nutrida representación institucional. El museo estará dirigido por Mireia Massagué. ;10/04/2019;17:41
16;Urkullu: 'Euskaltel tiene blindado el arraigo en Euskadi en sus estatutos';El ha valorado a la nueva situación de Euskaltel después de que la compañía británica Zegona se haya convertido en la primera accionista de la empresa.;10/04/2019;17:19
17;Astrónomos captan la primera imagen de un agujero negro;Vídeo en el que se ve el agujero negro situado en el centro de la galaxia M87, rodeado por una emisión de gas caliente arremolinándose a su alrededor bajo la influencia de una fuerte gravedad bajo su horizonte de sucesos. ;10/04/2019;16:29
18;La primera imagen jamás tomada de un agujero negro;Esta imagen largamente buscada proporciona la evidencia más sólida hasta la fecha de la existencia de agujeros negros supermasivos.;10/04/2019;15:54
19;Científicos desvelan la primera imagen de un agujero negro;Los científicos responsables del Telescopio del Horizonte de Sucesos (EHT) han presentado la primera imagen obtenida de un agujero negro, uno de los grandes misterios del Universo.;10/04/2019;15:33
